rand3,['l_inf'],, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.5867,2.943796282196045,2.9891765087127684
rand3,['l_inf'],, reverse_iter: ,2, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.596,2.9230824531555175,2.8401169589996336
rand3,['l_inf'],, reverse_iter: ,3, corruption: ,['impulse_noise'], severity: 1,batch-size: 16,0.5788,0.5952,2.9212221714019777,2.7636481397628785
rand3,['l_inf'],, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.3465,2.205809879112244,2.6131889701843263
rand3,['l_inf'],, reverse_iter: ,2, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.3498,2.1914216928482055,2.2909792760849
rand3,['l_inf'],, reverse_iter: ,3, corruption: ,['glass_blur'], severity: 1,batch-size: 16,0.3726,0.3494,2.1885560655593874,2.1453627267837523
rand3,['l_inf'],, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.2404,2.697060664367676,3.0857959175109864
rand3,['l_inf'],, reverse_iter: ,2, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.2546,2.680292221260071,2.723834740257263
rand3,['l_inf'],, reverse_iter: ,3, corruption: ,['defocus_blur'], severity: 1,batch-size: 16,0.1602,0.2518,2.674952742958069,2.559292195701599
rand3,['l_inf'],, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.7757,1.7163561100006104,1.9655620861053467
rand3,['l_inf'],, reverse_iter: ,2, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.7714,1.6999751435279846,1.736274919128418
rand3,['l_inf'],, reverse_iter: ,3, corruption: ,['zoom_blur'], severity: 1,batch-size: 16,0.8455,0.7732,1.6941575981140136,1.6465737774848939
rand3,['l_inf'],, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.4754,2.2097271856307983,2.493745287704468
rand3,['l_inf'],, reverse_iter: ,2, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.4912,2.2040627910614012,2.1538073276519776
rand3,['l_inf'],, reverse_iter: ,3, corruption: ,['motion_blur'], severity: 1,batch-size: 16,0.5657,0.4913,2.1943123575210572,2.0084559787750242
rand3,['l_inf'],, reverse_iter: ,1, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.8438,1.8733195658683777,2.057002286338806
rand3,['l_inf'],, reverse_iter: ,2, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.8399,1.8479493634223938,1.8841621468544005
rand3,['l_inf'],, reverse_iter: ,3, corruption: ,['snow'], severity: 1,batch-size: 16,0.8764,0.8437,1.8473839922904969,1.8047674065589905
rand3,['l_inf'],, reverse_iter: ,1, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.8497,2.041026064300537,2.2853130447387695
rand3,['l_inf'],, reverse_iter: ,2, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.8502,2.019412192726135,2.1052223196029662
rand3,['l_inf'],, reverse_iter: ,3, corruption: ,['frost'], severity: 1,batch-size: 16,0.8907,0.8466,2.025793585205078,2.0228596715927125
rand3,['l_inf'],, reverse_iter: ,1, corruption: ,['fog'], severity: 1,batch-size: 16,0.8239,0.5791,2.63807313079834,3.141623808670044
