,,, reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 8,0.3669,0.469
,,, reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 16,0.3669,0.4682
,,, reverse_iter: ,1, corruption: ,['pixelate'], severity: 1,batch-size: 32,0.3669,0.4418
,,, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 2,0.6026,0.3082
,,, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 4,0.6026,0.3134
,,, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 8,0.6026,0.3119
,,, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 16,0.6026,0.315
,,, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 1,batch-size: 32,0.6026,0.3088
,,, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 2,0.2456,0.2269
,,, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 4,0.2456,0.2356
,,, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 8,0.2456,0.2361
,,, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 16,0.2456,0.2429
,,, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 1,batch-size: 32,0.2456,0.2378
