rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['snow'], severity: 4,batch-size: 16,0.6694,0.6489
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['frost'], severity: 4,batch-size: 16,0.7025,0.6679
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['fog'], severity: 4,batch-size: 16,0.2001,0.2345
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['contrast'], severity: 4,batch-size: 16,0.3312,0.4496
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 4,batch-size: 16,0.145,0.1761
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['pixelate'], severity: 4,batch-size: 16,0.1496,0.2009
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 4,batch-size: 16,0.3614,0.3372
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 5,batch-size: 16,0.1278,0.1451
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['motion_blur'], severity: 5,batch-size: 16,0.1715,0.2312
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['glass_blur'], severity: 5,batch-size: 16,0.1448,0.1448
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 5,batch-size: 16,0.5641,0.7014
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['brightness'], severity: 5,batch-size: 16,0.8175,0.7983
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['snow'], severity: 5,batch-size: 16,0.5445,0.5313
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['frost'], severity: 5,batch-size: 16,0.6328,0.6024
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['fog'], severity: 5,batch-size: 16,0.1347,0.14
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['contrast'], severity: 5,batch-size: 16,0.1687,0.2679
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 5,batch-size: 16,0.1343,0.1714
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['pixelate'], severity: 5,batch-size: 16,0.1386,0.171
rand3_bybatch,['l_2'],3,['sharpness'], reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 5,batch-size: 16,0.2888,0.2766
