['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['brightness'], severity: 4,batch-size: 16,0.8728,0.872
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['snow'], severity: 4,batch-size: 16,0.6694,0.6671
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['frost'], severity: 4,batch-size: 16,0.7025,0.6994
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['fog'], severity: 4,batch-size: 16,0.2001,0.1988
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['contrast'], severity: 4,batch-size: 16,0.3312,0.5908
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 4,batch-size: 16,0.145,0.147
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['pixelate'], severity: 4,batch-size: 16,0.1496,0.1755
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 4,batch-size: 16,0.3614,0.3367
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 5,batch-size: 16,0.1157,0.118
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 5,batch-size: 16,0.1252,0.1287
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 5,batch-size: 16,0.1216,0.1223
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 5,batch-size: 16,0.1278,0.1301
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 5,batch-size: 16,0.1448,0.137
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['motion_blur'], severity: 5,batch-size: 16,0.1715,0.2308
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 5,batch-size: 16,0.5641,0.8204
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['brightness'], severity: 5,batch-size: 16,0.8175,0.8154
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['snow'], severity: 5,batch-size: 16,0.5445,0.5454
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['frost'], severity: 5,batch-size: 16,0.6328,0.6309
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['fog'], severity: 5,batch-size: 16,0.1347,0.1191
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['contrast'], severity: 5,batch-size: 16,0.1687,0.2475
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 5,batch-size: 16,0.1343,0.1329
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['pixelate'], severity: 5,batch-size: 16,0.1386,0.1492
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 5,batch-size: 16,0.2888,0.275
