['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['brightness'], severity: 4,batch-size: 16,0.8728,0.8723
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['snow'], severity: 4,batch-size: 16,0.6694,0.6677
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['frost'], severity: 4,batch-size: 16,0.7025,0.7004
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['fog'], severity: 4,batch-size: 16,0.2001,0.2016
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['contrast'], severity: 4,batch-size: 16,0.3312,0.5547
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 4,batch-size: 16,0.145,0.1399
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['pixelate'], severity: 4,batch-size: 16,0.1496,0.1709
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 4,batch-size: 16,0.3614,0.3616
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['gaussian_noise'], severity: 5,batch-size: 16,0.1157,0.115
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['shot_noise'], severity: 5,batch-size: 16,0.1252,0.1249
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 5,batch-size: 16,0.1216,0.1215
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 5,batch-size: 16,0.1278,0.1256
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['glass_blur'], severity: 5,batch-size: 16,0.1448,0.1429
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['motion_blur'], severity: 5,batch-size: 16,0.1715,0.2171
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 5,batch-size: 16,0.5641,0.8194
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['brightness'], severity: 5,batch-size: 16,0.8175,0.8162
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['snow'], severity: 5,batch-size: 16,0.5445,0.5454
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['frost'], severity: 5,batch-size: 16,0.6328,0.6317
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['fog'], severity: 5,batch-size: 16,0.1347,0.1217
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['contrast'], severity: 5,batch-size: 16,0.1687,0.2077
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 5,batch-size: 16,0.1343,0.1289
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['pixelate'], severity: 5,batch-size: 16,0.1386,0.1526
['l_2'],['sharpness'], reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 5,batch-size: 16,0.2888,0.292
