,, reverse_iter: ,1, corruption: ,['shot_noise'], severity: 5,batch-size: 16,0.1252,0.1233
,, reverse_iter: ,1, corruption: ,['impulse_noise'], severity: 5,batch-size: 16,0.1216,0.1238
,, reverse_iter: ,1, corruption: ,['defocus_blur'], severity: 5,batch-size: 16,0.1278,0.1128
,, reverse_iter: ,1, corruption: ,['glass_blur'], severity: 5,batch-size: 16,0.1448,0.1401
,, reverse_iter: ,1, corruption: ,['motion_blur'], severity: 5,batch-size: 16,0.1715,0.2116
,, reverse_iter: ,1, corruption: ,['zoom_blur'], severity: 5,batch-size: 16,0.5641,0.4209
,, reverse_iter: ,1, corruption: ,['brightness'], severity: 5,batch-size: 16,0.8175,0.6346
,, reverse_iter: ,1, corruption: ,['snow'], severity: 5,batch-size: 16,0.5445,0.3907
,, reverse_iter: ,1, corruption: ,['frost'], severity: 5,batch-size: 16,0.6328,0.4975
,, reverse_iter: ,1, corruption: ,['fog'], severity: 5,batch-size: 16,0.1347,0.1621
,, reverse_iter: ,1, corruption: ,['contrast'], severity: 5,batch-size: 16,0.1687,0.1552
,, reverse_iter: ,1, corruption: ,['elastic_transform'], severity: 5,batch-size: 16,0.1343,0.2001
,, reverse_iter: ,1, corruption: ,['pixelate'], severity: 5,batch-size: 16,0.1386,0.25
,, reverse_iter: ,1, corruption: ,['jpeg_compression'], severity: 5,batch-size: 16,0.2888,0.2364
