,['l_inf'],, reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 4,batch-size: 16,0.1223,0.1379
,['l_inf'],, reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 4,batch-size: 16,0.1368,0.1482
,['l_inf'],, reverse_iter: ,5, corruption: ,['shot_noise'], severity: 4,batch-size: 16,0.131,0.1439
,['l_inf'],, reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 4,batch-size: 16,0.1207,0.1567
,['l_inf'],, reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 4,batch-size: 16,0.6441,0.678
,['l_inf'],, reverse_iter: ,5, corruption: ,['motion_blur'], severity: 4,batch-size: 16,0.1858,0.2657
,['l_inf'],, reverse_iter: ,5, corruption: ,['glass_blur'], severity: 4,batch-size: 16,0.1393,0.18
,['l_inf'],, reverse_iter: ,5, corruption: ,['brightness'], severity: 4,batch-size: 16,0.8728,0.8549
,['l_inf'],, reverse_iter: ,5, corruption: ,['snow'], severity: 4,batch-size: 16,0.6694,0.6736
,['l_inf'],, reverse_iter: ,5, corruption: ,['frost'], severity: 4,batch-size: 16,0.7025,0.7015
,['l_inf'],, reverse_iter: ,5, corruption: ,['fog'], severity: 4,batch-size: 16,0.2001,0.3133
,['l_inf'],, reverse_iter: ,5, corruption: ,['contrast'], severity: 4,batch-size: 16,0.3312,0.433
,['l_inf'],, reverse_iter: ,5, corruption: ,['pixelate'], severity: 4,batch-size: 16,0.1496,0.2158
,['l_inf'],, reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 4,batch-size: 16,0.3614,0.4097
,['l_inf'],, reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 4,batch-size: 16,0.145,0.1753
,['l_inf'],, reverse_iter: ,5, corruption: ,['gaussian_noise'], severity: 5,batch-size: 16,0.1157,0.1272
,['l_inf'],, reverse_iter: ,5, corruption: ,['impulse_noise'], severity: 5,batch-size: 16,0.1216,0.13
,['l_inf'],, reverse_iter: ,5, corruption: ,['shot_noise'], severity: 5,batch-size: 16,0.1252,0.1328
,['l_inf'],, reverse_iter: ,5, corruption: ,['defocus_blur'], severity: 5,batch-size: 16,0.1278,0.1517
,['l_inf'],, reverse_iter: ,5, corruption: ,['zoom_blur'], severity: 5,batch-size: 16,0.5641,0.6267
,['l_inf'],, reverse_iter: ,5, corruption: ,['motion_blur'], severity: 5,batch-size: 16,0.1715,0.2358
,['l_inf'],, reverse_iter: ,5, corruption: ,['glass_blur'], severity: 5,batch-size: 16,0.1448,0.1609
,['l_inf'],, reverse_iter: ,5, corruption: ,['brightness'], severity: 5,batch-size: 16,0.8175,0.8018
,['l_inf'],, reverse_iter: ,5, corruption: ,['snow'], severity: 5,batch-size: 16,0.5445,0.5702
,['l_inf'],, reverse_iter: ,5, corruption: ,['frost'], severity: 5,batch-size: 16,0.6328,0.6475
,['l_inf'],, reverse_iter: ,5, corruption: ,['fog'], severity: 5,batch-size: 16,0.1347,0.1618
,['l_inf'],, reverse_iter: ,5, corruption: ,['contrast'], severity: 5,batch-size: 16,0.1687,0.2392
,['l_inf'],, reverse_iter: ,5, corruption: ,['pixelate'], severity: 5,batch-size: 16,0.1386,0.1796
,['l_inf'],, reverse_iter: ,5, corruption: ,['jpeg_compression'], severity: 5,batch-size: 16,0.2888,0.3427
,['l_inf'],, reverse_iter: ,5, corruption: ,['elastic_transform'], severity: 5,batch-size: 16,0.1343,0.1593
,['l_inf'],, reverse_iter: ,10, corruption: ,['gaussian_noise'], severity: 1,batch-size: 16,0.3951,0.4935
