l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['gaussian_noise'],severity: 1,batch-size: 8,0.5892,0.5958
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['shot_noise'],severity: 1,batch-size: 8,0.5728,0.5766
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['impulse_noise'],severity: 1,batch-size: 8,0.4728,0.4866
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['defocus_blur'],severity: 1,batch-size: 8,0.5628,0.5566
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['glass_blur'],severity: 1,batch-size: 8,0.5216,0.5346
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['motion_blur'],severity: 1,batch-size: 8,0.6236,0.6198
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['zoom_blur'],severity: 1,batch-size: 8,0.526,0.5312
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['brightness'],severity: 1,batch-size: 8,0.717,0.7062
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['snow'],severity: 1,batch-size: 8,0.5174,0.5084
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['frost'],severity: 1,batch-size: 8,0.5802,0.5686
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['fog'],severity: 1,batch-size: 8,0.5882,0.5808
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['contrast'],severity: 1,batch-size: 8,0.6188,0.615
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['elastic_transform'],severity: 1,batch-size: 8,0.66,0.6514
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['pixelate'],severity: 1,batch-size: 8,0.6326,0.6418
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['jpeg_compression'],severity: 1,batch-size: 8,0.6402,0.6274
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['gaussian_noise'],severity: 2,batch-size: 8,0.4718,0.478
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['shot_noise'],severity: 2,batch-size: 8,0.4276,0.4424
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['impulse_noise'],severity: 2,batch-size: 8,0.3714,0.3856
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['defocus_blur'],severity: 2,batch-size: 8,0.4892,0.4784
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['glass_blur'],severity: 2,batch-size: 8,0.389,0.4146
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['motion_blur'],severity: 2,batch-size: 8,0.5112,0.5154
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['zoom_blur'],severity: 2,batch-size: 8,0.4324,0.4364
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['brightness'],severity: 2,batch-size: 8,0.6998,0.6924
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['snow'],severity: 2,batch-size: 8,0.2986,0.293
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['frost'],severity: 2,batch-size: 8,0.3928,0.3906
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['fog'],severity: 2,batch-size: 8,0.532,0.524
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['contrast'],severity: 2,batch-size: 8,0.5512,0.5436
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['elastic_transform'],severity: 2,batch-size: 8,0.4446,0.4368
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['pixelate'],severity: 2,batch-size: 8,0.6026,0.625
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['jpeg_compression'],severity: 2,batch-size: 8,0.6014,0.5958
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['gaussian_noise'],severity: 3,batch-size: 8,0.2966,0.3136
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['shot_noise'],severity: 3,batch-size: 8,0.2724,0.2874
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['impulse_noise'],severity: 3,batch-size: 8,0.2966,0.3148
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['defocus_blur'],severity: 3,batch-size: 8,0.3426,0.3234
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['glass_blur'],severity: 3,batch-size: 8,0.1688,0.1996
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['motion_blur'],severity: 3,batch-size: 8,0.351,0.3622
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['zoom_blur'],severity: 3,batch-size: 8,0.3556,0.3546
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['brightness'],severity: 3,batch-size: 8,0.669,0.6606
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['snow'],severity: 3,batch-size: 8,0.3252,0.3198
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['frost'],severity: 3,batch-size: 8,0.2844,0.2818
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['fog'],severity: 3,batch-size: 8,0.441,0.4358
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['contrast'],severity: 3,batch-size: 8,0.4282,0.4166
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['elastic_transform'],severity: 3,batch-size: 8,0.5298,0.521
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['pixelate'],severity: 3,batch-size: 8,0.4826,0.5468
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['jpeg_compression'],severity: 3,batch-size: 8,0.5774,0.5734
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['gaussian_noise'],severity: 4,batch-size: 8,0.1492,0.1584
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['shot_noise'],severity: 4,batch-size: 8,0.1074,0.1184
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['impulse_noise'],severity: 4,batch-size: 8,0.1398,0.1516
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['defocus_blur'],severity: 4,batch-size: 8,0.2404,0.2216
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['glass_blur'],severity: 4,batch-size: 8,0.12,0.139
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['motion_blur'],severity: 4,batch-size: 8,0.2,0.2036
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['zoom_blur'],severity: 4,batch-size: 8,0.287,0.2932
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['brightness'],severity: 4,batch-size: 8,0.62,0.6118
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['snow'],severity: 4,batch-size: 8,0.2114,0.209
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['frost'],severity: 4,batch-size: 8,0.2618,0.2582
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['fog'],severity: 4,batch-size: 8,0.3742,0.369
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['contrast'],severity: 4,batch-size: 8,0.175,0.1596
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['elastic_transform'],severity: 4,batch-size: 8,0.3936,0.39
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['pixelate'],severity: 4,batch-size: 8,0.328,0.4594
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['jpeg_compression'],severity: 4,batch-size: 8,0.4738,0.495
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['gaussian_noise'],severity: 5,batch-size: 8,0.047,0.052
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['shot_noise'],severity: 5,batch-size: 8,0.0542,0.0612
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['impulse_noise'],severity: 5,batch-size: 8,0.047,0.06
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['defocus_blur'],severity: 5,batch-size: 8,0.1514,0.14
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['glass_blur'],severity: 5,batch-size: 8,0.0892,0.0958
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['motion_blur'],severity: 5,batch-size: 8,0.1314,0.1428
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['zoom_blur'],severity: 5,batch-size: 8,0.2282,0.2356
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['brightness'],severity: 5,batch-size: 8,0.5558,0.543
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['snow'],severity: 5,batch-size: 8,0.1562,0.1612
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['frost'],severity: 5,batch-size: 8,0.203,0.2024
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['fog'],severity: 5,batch-size: 8,0.2274,0.2212
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['contrast'],severity: 5,batch-size: 8,0.0442,0.0374
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['elastic_transform'],severity: 5,batch-size: 8,0.1476,0.158
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['pixelate'],severity: 5,batch-size: 8,0.2308,0.3888
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['jpeg_compression'],severity: 5,batch-size: 8,0.3334,0.389
