l_2 ,,reverse_iter: ,[3],corruption: ,['contrast'],severity: 4,batch-size: 8,0.1406,0.141
l_2 ,,reverse_iter: ,[3],corruption: ,['pixelate'],severity: 4,batch-size: 8,0.321,0.3222
l_2 ,,reverse_iter: ,[3],corruption: ,['jpeg_compression'],severity: 4,batch-size: 8,0.4802,0.4808
l_2 ,,reverse_iter: ,[3],corruption: ,['elastic_transform'],severity: 4,batch-size: 8,0.3858,0.3864
l_2 ,,reverse_iter: ,[3],corruption: ,['gaussian_noise'],severity: 5,batch-size: 8,0.0528,0.053
l_2 ,,reverse_iter: ,[3],corruption: ,['shot_noise'],severity: 5,batch-size: 8,0.062,0.062
l_2 ,,reverse_iter: ,[3],corruption: ,['impulse_noise'],severity: 5,batch-size: 8,0.0544,0.0542
l_2 ,,reverse_iter: ,[3],corruption: ,['glass_blur'],severity: 5,batch-size: 8,0.0804,0.0806
l_2 ,,reverse_iter: ,[3],corruption: ,['defocus_blur'],severity: 5,batch-size: 8,0.1384,0.1386
l_2 ,,reverse_iter: ,[3],corruption: ,['zoom_blur'],severity: 5,batch-size: 8,0.2228,0.2228
l_2 ,,reverse_iter: ,[3],corruption: ,['motion_blur'],severity: 5,batch-size: 8,0.1288,0.1282
l_2 ,,reverse_iter: ,[3],corruption: ,['snow'],severity: 5,batch-size: 8,0.1208,0.1214
l_2 ,,reverse_iter: ,[3],corruption: ,['frost'],severity: 5,batch-size: 8,0.1822,0.1826
l_2 ,,reverse_iter: ,[3],corruption: ,['fog'],severity: 5,batch-size: 8,0.2142,0.2148
l_2 ,,reverse_iter: ,[3],corruption: ,['brightness'],severity: 5,batch-size: 8,0.5206,0.5202
l_2 ,,reverse_iter: ,[3],corruption: ,['contrast'],severity: 5,batch-size: 8,0.0322,0.0324
l_2 ,,reverse_iter: ,[3],corruption: ,['pixelate'],severity: 5,batch-size: 8,0.2272,0.2276
l_2 ,,reverse_iter: ,[3],corruption: ,['jpeg_compression'],severity: 5,batch-size: 8,0.3394,0.34
l_2 ,,reverse_iter: ,[3],corruption: ,['elastic_transform'],severity: 5,batch-size: 8,0.1406,0.141
