l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['snow'],severity: 4,batch-size: 8,0.2114,0.21
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['frost'],severity: 4,batch-size: 8,0.2618,0.2636
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['fog'],severity: 4,batch-size: 8,0.3742,0.3698
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['contrast'],severity: 4,batch-size: 8,0.175,0.1648
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 4,batch-size: 8,0.3936,0.392
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 4,batch-size: 8,0.328,0.4084
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 4,batch-size: 8,0.4738,0.4974
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 5,batch-size: 8,0.047,0.0586
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 5,batch-size: 8,0.0542,0.0628
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 5,batch-size: 8,0.047,0.0644
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 5,batch-size: 8,0.1514,0.1414
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 5,batch-size: 8,0.0892,0.0944
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 5,batch-size: 8,0.1314,0.1358
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 5,batch-size: 8,0.2282,0.232
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['brightness'],severity: 5,batch-size: 8,0.5558,0.5468
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['snow'],severity: 5,batch-size: 8,0.1562,0.1672
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['frost'],severity: 5,batch-size: 8,0.203,0.2054
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['fog'],severity: 5,batch-size: 8,0.2274,0.223
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['contrast'],severity: 5,batch-size: 8,0.0442,0.0408
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 5,batch-size: 8,0.1476,0.148
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 5,batch-size: 8,0.2308,0.322
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 5,batch-size: 8,0.3334,0.3872
