l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 1,batch-size: 8,0.5892,0.5868
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 1,batch-size: 8,0.5728,0.576
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 1,batch-size: 8,0.4728,0.4766
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 1,batch-size: 8,0.5628,0.555
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 1,batch-size: 8,0.5216,0.5354
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 1,batch-size: 8,0.6236,0.6192
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 1,batch-size: 8,0.526,0.5298
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['brightness'],severity: 1,batch-size: 8,0.717,0.705
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['snow'],severity: 1,batch-size: 8,0.5174,0.504
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['frost'],severity: 1,batch-size: 8,0.5802,0.5678
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['fog'],severity: 1,batch-size: 8,0.5882,0.5774
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['contrast'],severity: 1,batch-size: 8,0.6188,0.6106
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 1,batch-size: 8,0.66,0.653
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 1,batch-size: 8,0.6326,0.6362
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 1,batch-size: 8,0.6402,0.6316
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 2,batch-size: 8,0.4718,0.474
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 2,batch-size: 8,0.4276,0.4318
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 2,batch-size: 8,0.3714,0.3816
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 2,batch-size: 8,0.4892,0.48
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 2,batch-size: 8,0.389,0.4048
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 2,batch-size: 8,0.5112,0.5072
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 2,batch-size: 8,0.4324,0.4362
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['brightness'],severity: 2,batch-size: 8,0.6998,0.6882
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['snow'],severity: 2,batch-size: 8,0.2986,0.293
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['frost'],severity: 2,batch-size: 8,0.3928,0.389
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['fog'],severity: 2,batch-size: 8,0.532,0.525
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['contrast'],severity: 2,batch-size: 8,0.5512,0.5434
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 2,batch-size: 8,0.4446,0.4408
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 2,batch-size: 8,0.6026,0.613
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 2,batch-size: 8,0.6014,0.598
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 3,batch-size: 8,0.2966,0.3092
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 3,batch-size: 8,0.2724,0.283
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 3,batch-size: 8,0.2966,0.3108
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 3,batch-size: 8,0.3426,0.3256
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 3,batch-size: 8,0.1688,0.1938
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 3,batch-size: 8,0.351,0.3504
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 3,batch-size: 8,0.3556,0.3566
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['brightness'],severity: 3,batch-size: 8,0.669,0.656
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['snow'],severity: 3,batch-size: 8,0.3252,0.3116
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['frost'],severity: 3,batch-size: 8,0.2844,0.276
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['fog'],severity: 3,batch-size: 8,0.441,0.4358
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['contrast'],severity: 3,batch-size: 8,0.4282,0.4144
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 3,batch-size: 8,0.5298,0.5224
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 3,batch-size: 8,0.4826,0.5434
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 3,batch-size: 8,0.5774,0.5768
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 4,batch-size: 8,0.1492,0.1628
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 4,batch-size: 8,0.1074,0.1204
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 4,batch-size: 8,0.1398,0.1492
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 4,batch-size: 8,0.2404,0.2206
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 4,batch-size: 8,0.12,0.1368
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 4,batch-size: 8,0.2,0.2036
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 4,batch-size: 8,0.287,0.2912
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['brightness'],severity: 4,batch-size: 8,0.62,0.608
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['snow'],severity: 4,batch-size: 8,0.2114,0.202
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['frost'],severity: 4,batch-size: 8,0.2618,0.2604
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['fog'],severity: 4,batch-size: 8,0.3742,0.3662
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['contrast'],severity: 4,batch-size: 8,0.175,0.1562
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 4,batch-size: 8,0.3936,0.3924
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 4,batch-size: 8,0.328,0.4464
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 4,batch-size: 8,0.4738,0.4972
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 5,batch-size: 8,0.047,0.0558
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 5,batch-size: 8,0.0542,0.0624
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 5,batch-size: 8,0.047,0.0608
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 5,batch-size: 8,0.1514,0.1384
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 5,batch-size: 8,0.0892,0.094
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 5,batch-size: 8,0.1314,0.1388
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 5,batch-size: 8,0.2282,0.2326
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['brightness'],severity: 5,batch-size: 8,0.5558,0.5426
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['snow'],severity: 5,batch-size: 8,0.1562,0.1554
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['frost'],severity: 5,batch-size: 8,0.203,0.2034
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['fog'],severity: 5,batch-size: 8,0.2274,0.2176
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['contrast'],severity: 5,batch-size: 8,0.0442,0.038
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 5,batch-size: 8,0.1476,0.157
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 5,batch-size: 8,0.2308,0.371
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 5,batch-size: 8,0.3334,0.3964
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 5,batch-size: 8,0.047,0.0558
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 5,batch-size: 8,0.0542,0.0624
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 5,batch-size: 8,0.047,0.0608
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 5,batch-size: 8,0.1514,0.1384
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 5,batch-size: 8,0.0892,0.094
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 5,batch-size: 8,0.1314,0.1388
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 5,batch-size: 8,0.2282,0.2326
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['brightness'],severity: 5,batch-size: 8,0.5558,0.5426
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['snow'],severity: 5,batch-size: 8,0.1562,0.1554
l_2 ,sharpness,reverse_iter: ,[1],corruption: ,['frost'],severity: 5,batch-size: 8,0.203,0.2034
