l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['gaussian_noise'],severity: 1,batch-size: 8,0.5892,0.596
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['shot_noise'],severity: 1,batch-size: 8,0.5728,0.5822
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['impulse_noise'],severity: 1,batch-size: 8,0.4728,0.4916
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['defocus_blur'],severity: 1,batch-size: 8,0.5628,0.5604
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['glass_blur'],severity: 1,batch-size: 8,0.5216,0.5306
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['motion_blur'],severity: 1,batch-size: 8,0.6236,0.6234
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['zoom_blur'],severity: 1,batch-size: 8,0.526,0.5272
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['brightness'],severity: 1,batch-size: 8,0.717,0.7128
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['snow'],severity: 1,batch-size: 8,0.5174,0.51
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['frost'],severity: 1,batch-size: 8,0.5802,0.575
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['fog'],severity: 1,batch-size: 8,0.5882,0.583
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['contrast'],severity: 1,batch-size: 8,0.6188,0.6162
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['elastic_transform'],severity: 1,batch-size: 8,0.66,0.6554
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['pixelate'],severity: 1,batch-size: 8,0.6326,0.6536
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['jpeg_compression'],severity: 1,batch-size: 8,0.6402,0.6406
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['gaussian_noise'],severity: 2,batch-size: 8,0.4718,0.4888
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['shot_noise'],severity: 2,batch-size: 8,0.4276,0.4416
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['impulse_noise'],severity: 2,batch-size: 8,0.3714,0.395
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['defocus_blur'],severity: 2,batch-size: 8,0.4892,0.484
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['glass_blur'],severity: 2,batch-size: 8,0.389,0.4016
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['motion_blur'],severity: 2,batch-size: 8,0.5112,0.5148
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['zoom_blur'],severity: 2,batch-size: 8,0.4324,0.4312
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['brightness'],severity: 2,batch-size: 8,0.6998,0.6974
l_2 ,sharpness,reverse_iter: ,[5],corruption: ,['snow'],severity: 2,batch-size: 8,0.2986,0.2982
