l_2 ,,reverse_iter: ,[10],corruption: ,['fog'],severity: 4,batch-size: 8,0.4466,0.4882
l_2 ,,reverse_iter: ,[10],corruption: ,['contrast'],severity: 4,batch-size: 8,0.1338,0.1848
l_2 ,,reverse_iter: ,[10],corruption: ,['elastic_transform'],severity: 4,batch-size: 8,0.5444,0.5678
l_2 ,,reverse_iter: ,[10],corruption: ,['pixelate'],severity: 4,batch-size: 8,0.303,0.3232
l_2 ,,reverse_iter: ,[10],corruption: ,['jpeg_compression'],severity: 4,batch-size: 8,0.4822,0.5022
l_2 ,,reverse_iter: ,[10],corruption: ,['gaussian_noise'],severity: 5,batch-size: 8,0.0266,0.0274
l_2 ,,reverse_iter: ,[10],corruption: ,['impulse_noise'],severity: 5,batch-size: 8,0.0306,0.0332
l_2 ,,reverse_iter: ,[10],corruption: ,['shot_noise'],severity: 5,batch-size: 8,0.0362,0.038
l_2 ,,reverse_iter: ,[10],corruption: ,['defocus_blur'],severity: 5,batch-size: 8,0.1688,0.2192
l_2 ,,reverse_iter: ,[10],corruption: ,['motion_blur'],severity: 5,batch-size: 8,0.1722,0.1994
l_2 ,,reverse_iter: ,[10],corruption: ,['glass_blur'],severity: 5,batch-size: 8,0.1176,0.1412
l_2 ,,reverse_iter: ,[10],corruption: ,['zoom_blur'],severity: 5,batch-size: 8,0.2632,0.2928
l_2 ,,reverse_iter: ,[10],corruption: ,['brightness'],severity: 5,batch-size: 8,0.614,0.6396
l_2 ,,reverse_iter: ,[10],corruption: ,['snow'],severity: 5,batch-size: 8,0.1792,0.193
l_2 ,,reverse_iter: ,[10],corruption: ,['frost'],severity: 5,batch-size: 8,0.2704,0.289
l_2 ,,reverse_iter: ,[10],corruption: ,['fog'],severity: 5,batch-size: 8,0.2894,0.3238
l_2 ,,reverse_iter: ,[10],corruption: ,['contrast'],severity: 5,batch-size: 8,0.0284,0.0558
l_2 ,,reverse_iter: ,[10],corruption: ,['elastic_transform'],severity: 5,batch-size: 8,0.1818,0.2
l_2 ,,reverse_iter: ,[10],corruption: ,['pixelate'],severity: 5,batch-size: 8,0.1922,0.2108
l_2 ,,reverse_iter: ,[10],corruption: ,['jpeg_compression'],severity: 5,batch-size: 8,0.303,0.3206
