l_2 ,,reverse_iter: ,[1],corruption: ,['snow'],severity: 4,batch-size: 8,0.1896,0.19
l_2 ,,reverse_iter: ,[1],corruption: ,['frost'],severity: 4,batch-size: 8,0.238,0.2382
l_2 ,,reverse_iter: ,[1],corruption: ,['fog'],severity: 4,batch-size: 8,0.3522,0.3524
l_2 ,,reverse_iter: ,[1],corruption: ,['contrast'],severity: 4,batch-size: 8,0.1406,0.1406
l_2 ,,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 4,batch-size: 8,0.3858,0.386
l_2 ,,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 4,batch-size: 8,0.321,0.3212
l_2 ,,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 4,batch-size: 8,0.4802,0.4804
l_2 ,,reverse_iter: ,[1],corruption: ,['gaussian_noise'],severity: 5,batch-size: 8,0.0528,0.0528
l_2 ,,reverse_iter: ,[1],corruption: ,['shot_noise'],severity: 5,batch-size: 8,0.062,0.062
l_2 ,,reverse_iter: ,[1],corruption: ,['impulse_noise'],severity: 5,batch-size: 8,0.0544,0.0544
l_2 ,,reverse_iter: ,[1],corruption: ,['defocus_blur'],severity: 5,batch-size: 8,0.1384,0.1378
l_2 ,,reverse_iter: ,[1],corruption: ,['glass_blur'],severity: 5,batch-size: 8,0.0804,0.0804
l_2 ,,reverse_iter: ,[1],corruption: ,['motion_blur'],severity: 5,batch-size: 8,0.1288,0.1284
l_2 ,,reverse_iter: ,[1],corruption: ,['zoom_blur'],severity: 5,batch-size: 8,0.2228,0.2224
l_2 ,,reverse_iter: ,[1],corruption: ,['brightness'],severity: 5,batch-size: 8,0.5206,0.5204
l_2 ,,reverse_iter: ,[1],corruption: ,['snow'],severity: 5,batch-size: 8,0.1208,0.1212
l_2 ,,reverse_iter: ,[1],corruption: ,['frost'],severity: 5,batch-size: 8,0.1822,0.183
l_2 ,,reverse_iter: ,[1],corruption: ,['fog'],severity: 5,batch-size: 8,0.2142,0.2144
l_2 ,,reverse_iter: ,[1],corruption: ,['contrast'],severity: 5,batch-size: 8,0.0322,0.0324
l_2 ,,reverse_iter: ,[1],corruption: ,['elastic_transform'],severity: 5,batch-size: 8,0.1406,0.1406
l_2 ,,reverse_iter: ,[1],corruption: ,['pixelate'],severity: 5,batch-size: 8,0.2272,0.228
l_2 ,,reverse_iter: ,[1],corruption: ,['jpeg_compression'],severity: 5,batch-size: 8,0.3394,0.3398
